rank,kanji,onyomi,kunyomi,meaning,labels,example_1,example_2
1,氏,shi シ,uji うじ,"family name, surname, clan",jlpt_n1,"田中氏は医者ですね。
tanakashi wa isha desu ne!
Mr Tanaka is a doctor, isn't he?","私は山田氏の部下です。
watashi wa Yamada shi no buka desu."
2,統,tou トウ,su(beru) す(べる),"ruling, governing",jlpt_n1,,
3,基,ki キ,"moto, motoi もと、 もとい","fundamentals, counter for machines, foundation",jlpt_n1,,
4,価,ka カ,atai あたい,"value, price",jlpt_n1,,
5,提,tei テイ,sa(geru) さ(げる),"propose, take along, carry in hand",jlpt_n1,,
6,挙,kyo キョ,"a(geru), kozo(ru) あ(げる)、 こぞ(る)","raise, plan, project, behavior, actions",jlpt_n1,,
7,応,ou オウ,kota(eru) こた(える),"apply, answer, yes, OK, reply, accept",jlpt_n1,,
8,企,ki キ,"kuwada(teru), takura(mu) くわだ(てる)、 たくら(む)","undertake, scheme, design, attempt, plan",jlpt_n1,,
9,検,ken ケン,shira(beru) しら(べる),"examination, investigate",jlpt_n1,,
10,藤,tou トウ,fuji ふじ,wisteria,jlpt_n1,,
11,沢,taku タク,sawa さわ,"swamp, marsh, brilliance, grace",jlpt_n1,,
12,裁,sai サイ,"ta(tsu), saba(ku) た(つ)、 さば(く)","tailor, judge, decision, cut out (pattern)",jlpt_n1,,
13,証,shou ショウ,akashi あかし,"evidence, proof, certificate",jlpt_n1,,
14,援,en エン,,"abet, help, save",jlpt_n1,,
15,可,ka カ,be(ki) べ(き),"can, passable, mustn't, should not",jlpt_n1,,
16,施,"shi, se シ、 セ",hodoko(su) ほどこ(す),"give, bestow, perform, alms",jlpt_n1,,
17,井,"sei, shou セイ、 ショウ",i い,"well, well crib, town, community",jlpt_n1,,
18,護,go ゴ,mamo(ru) まも(る),"safeguard, protect",jlpt_n1,,
19,展,ten テン,,"unfold, expand",jlpt_n1,,
20,態,tai タイ,waza(to) わざ(と),"attitude, condition",jlpt_n1,,
21,鮮,sen セン,aza(yaka) あざ(やか),"fresh, vivid, clear",jlpt_n1,,
22,視,shi シ,mi(ru) み(る),"inspection, regard as, see, look at",jlpt_n1,,
23,条,"jou, chou, deki ジョウ、 チョウ、 デキ","eda, suji えだ、 すじ","article, clause, counter for articles",jlpt_n1,,
24,幹,kan カン,miki みき,"tree trunk, main part, talent, capability",jlpt_n1,,
25,独,doku ドク,hito(ri) ひと(り),"single, alone, spontaneously",jlpt_n1,,
26,宮,"kyuu, guu, ku キュウ、 グウ、 ク",miya みや,"Shinto shrine, constellations, palace, princess",jlpt_n1,,
27,率,"sotsu, ritsu ソツ、 リツ",hiki(iru) ひき(いる),"ratio, rate, proportion, %, factor, lead",jlpt_n1,,
28,衛,ei エイ,,"defense, protection",jlpt_n1,,
29,張,chou チョウ,ha(ru) は(る),"lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)",jlpt_n1,,
30,監,kan カン,,"oversee, official, govt office, rule, administer",jlpt_n1,,
31,環,kan カン,wa わ,"ring, circle, link, wheel",jlpt_n1,,
32,審,shin シン,"tsumabi(raka), tsubusa(ni) つまび(らか)、 つぶさ(に)","hearing, judge, trial",jlpt_n1,,
33,義,gi ギ,,"righteousness, justice, morality, honor, loyalty, meaning",jlpt_n1,,
34,訴,so ソ,utta(eru) うった(える),"accusation, sue, complain of pain, appeal to",jlpt_n1,,
35,株,shu シュ,kabu かぶ,"stocks, stump, shares, stock, counter for small plants",jlpt_n1,,
36,姿,shi シ,sugata すがた,"figure, form, shape",jlpt_n1,,
37,閣,kaku カク,,"tower, tall building, palace",jlpt_n1,,
38,韓,kan カン,"kara, igeta から、 いげた",Korea,jlpt_n1,,
39,衆,"shuu, shu シュウ、 シュ",oo(i) おお(い),"masses, great numbers, multitude, populace",jlpt_n1,,
40,評,hyou ヒョウ,,"evaluate, criticism, comment",jlpt_n1,,
41,岡,kou コウ,oka おか,"mount, hill, knoll",jlpt_n1,,
42,影,ei エイ,kage かげ,"shadow, silhouette, phantom",jlpt_n1,"壁に映った男の影が見えた。
kabe ni utsutta otoko no kage ga mieta.
I saw the shadow of a man reflected on the wall.","彼の影響力は大したことない。
kare no eikyouryoku wa taishita koto nai.
His influence is not great."
43,松,shou ショウ,matsu まつ,pine tree,jlpt_n1,,
44,撃,geki ゲキ,u(tsu) う(つ),"beat, attack, defeat, conquer",jlpt_n1,,
45,佐,sa サ,,"assistant, help",jlpt_n1,,
46,核,kaku カク,,"nucleus, core, kernel",jlpt_n1,,
47,整,sei セイ,totono(eru) ととの(える),"organize, arranging, tune, tone, meter, key (music)",jlpt_n1,,
48,融,yuu ユウ,to(keru) と(ける),"dissolve, melt",jlpt_n1,,
49,製,sei セイ,,"made in..., manufacture",jlpt_n1,,
