rank,word,reading_kana,reading_romaji,part_of_speech,meaning,labels,example_1,example_2,example_3
1,浴びる,あびる,abiru,"Verb, Ichidan verb, Transitive verb","to bathe, to shower",jlpt_n5,"、シャワーを浴びて汗を流した。

After my run, I took a shower to wash off the sweat.","朝開けて日の光浴び脳体目覚めさせる

When I wake up in the morning, the first thing I do is open the curtains and let the sunlight in to wake up my brain and body.","に、観客は興奮し、歓声を上げた。

The crowd was excited and cheered for the first goal scored in the championship match."
2,危ない,あぶない,abunai,"Adjective, い-adjective",dangerous,jlpt_n5,"退院できた。

My grandmother’s pneumonia worsened, and there was a time when she was in critical condition. Nevertheless, her doctor assured her that she was completely cured, and last week she was safely discharged from the hospital.","私は危ないところを助かりました

I had a narrow escape.","おい走ると危ないぞえうわわ～～～っあーあー言わんこっちゃない

""Hey! It's dangerous to run here."" ""Eh? ... A-a-Aaah!!"" ""Oh dear, what did I tell you?"""
3,あっち,,acchi,Pronoun,over there,jlpt_n5,"がうろうろしていたので、「しっしっ、あっち行け」と言って追い払った。

A stray dog was wandering around in front of my house, so I chased it away by saying, “Shoo, go away.”","疲れた。

My girlfriend loves to shop, and I became tired after she dragged me around all day to one store after another.","スーパーで欲しい物を見つけた子どもが「あっちへ行こう」と母親の手を引っ張る。

A child finds something he wants at the supermarket and pulls his mother’s hand, saying, “Let’s go that way.”"
4,あちら,,achira,Pronoun,there,jlpt_n5,"彼は身ぶりであちらへ行けと合図した

He motioned us away.","彼は手を振って私にあっちにいけと合図した

He waved me away.","当社はあちらこちらの都市に支店があります

Our company has branches in many cities."
5,上げる,あげる,ageru,"Verb, Ichidan verb, Transitive verb",to raise; to elevate; to give,jlpt_n5,"が書いたものを読んで批判するのはたやすいが、自分で文章を書き上げるのは非常に困難である。

It is easy to criticize when reading what others have written, but it is extremely difficult to complete a piece of writing yourself.","もあると聞いた。

I have heard a skeptical view that the lack of increase in the supply of crude oil is actually a manipulation tactic to raise the  price of oil.","のステータスだった。

For painters who lived in the absolute monarchy era, achieving recognition by painting a king’s portraits splendidly and being employed as court painters was the ultimate status."
6,赤,あか,aka,Noun,red; crimson; scarlet​,jlpt_n5,"や(紫外線;しがいせん）もある。

Rays from the sun include visible light and invisible infrared and ultraviolet rays.","生まれてくる赤ちゃんの幸せを考えて姓名判断で名前を決めた。

We decided on the name of the coming baby based on onomancy, or divination from names, wishing for her happiness.","送られて来る。

Every winter, a friend in Aomori sends a box of bright red apples with news of the season."
7,赤い,あかい,akai,"Adjective, い-adjective",red; crimson; scarlet​,jlpt_n5,"しまった。

I was stung by a bee and my hand became red and swollen.","で食事を楽しんだ。

On our wedding anniversary we decorated the table with red roses and enjoyed a meal together as a married couple.","に出会うとだろう告げられた。

When I had my palm read by a fortune teller, she told me that this year I would probably meet the man of my dreams, to whom I am tied with a red thread of destiny."
8,明るい,あかるい,akarui,"Adjective, い-adjective",bright; light,jlpt_n5,"に買い物に出かけることにした。

On Sunday morning I felt the spring-like weather, so I decided to put on a brightly colored dress to go shopping in town.","くれる。

Yamada-san, a coworker on the same floor, always makes the workplace atmosphere cheerful and relaxed with her large round eyes and charming smile.","は、周囲から好かれやすい。

A dynamic person with a sunny disposition tends to be liked by those around him/her."
9,開ける,あける,akeru,"Verb, Ichidan verb, Transitive verb","to open (a door, etc.); to unwrap (e.g. parcel, package); to unlock",jlpt_n5,"が、中には食べ物らしい食べ物はほとんど何もなかった。

On a weekend morning, I was hungry and opened the refrigerator, but there was hardly anything that looked like real food inside.","中三日空けて登板した

After taking three days off in the middle of the season the team’s best pitcher returned to the mound.","が聞こえてきた。

While cleaning with the windows open on my day off, I heard the adorable laughter of small children coming from a nearby park."
10,秋,あき,aki,Noun,autumn; fall,jlpt_n5,"をなして飛んでくる。

In autumn, migratory birds fly in flocks from the north.","だ。秋の

Today is the night of the full moon. The bright, clear, full moon that appears in the autumn night sky is beautiful.","過ごしやすい季節である。

Autumn is a wonderful season for various activities, such as getting close to nature, reading, playing sports, and eating delicious food, as described in uniquely Japanese expressions such as: “autumn for foliage,” “autumn for appetite,” “autumn for sports,” and “autumn for reading.”"
11,開く,あく,aku,"Verb, Godan verb, Intransitive verb","to open (e.g. doors, business, etc)",jlpt_n5,"野党は来るべき選挙に向けて結束を強めようと毎日会議を開いている。

Opposition political parties are meeting daily in an effort to strengthen their solidarity ahead of the upcoming election.","鍵開かない

I am trying to unlock a warehouse that has not been used for a while, but the lock won’t open.","違うことがあるので、注意しなければならない。

It is important to be cautious because gestures can mean completely different things depending on the country and the culture."
12,甘い,あまい,amai,"Adjective, い-adjective",sweet; sweet-tasting; sugary; naive; indulgent,jlpt_n5,"プレーである。

The best part of a tennis doubles match is the seemingly natural coordination between the two players. The back-court player hits a deep ball just short of the baseline to force the opponent to the right or left. This allows the player at the net to intersect a fast but easy ball to hit a sharp angled volley into the void in the opponent’s court. The harmonious play between the two players is truly breathtaking to see.","いる。

People’s dissatisfaction is welling up over scattershot policies with naive outlooks, such as the proposed benefit payment plan which keeps changing and meandering.","。ケーキ、食べないんですか？」「はい、

“Huh? Mr. Kato. Aren’t you going to touch your cake?” “No, I don’t have a sweet tooth. In fact, I don’t care for sweet things.”"
13,雨,あめ,ame,Noun,rain,jlpt_n5,"は困っている。

This summer has been troubled by record low rainfall, which has resulted in extremely poor rice growth.  This situation aggrieves farmers.","を持って行くことにした。

The weather forecast reported an 80% chance of precipitation today, so I decided to bring an umbrella.","の被害を予測することができる。

By checking the difference in elevation of the land, damage can be predicted in the event of heavy rainfall."
14,飴,あめ,ame,Noun,candy,jlpt_n5,"ほどの重さである。

A standard size apple weighs around 300 grams, but Chinese crab apples, sold at candy apple stalls, weigh about one-tenth of the standard size.","息子は箱から飴を一つ取った

My son took a candy from the box.","バッグの中に入っていた飴が暑さでクニャクニャになっていた

The candy I had in my bag went mushy in the heat."
15,あなた,,anata,Pronoun,you,jlpt_n5,"がないということだ。

If you were contending for first or second place in a competition and fell short, that’s one thing, but if you didn’t make it past the preliminary round, it may sound harsh, but to put it simply, it means you don’t currently have the necessary skills or ability.","が良すぎる。

You always put others first and neglect your needs! You are just too nice, to the point of being naïve.","いた。

Many of the students wrote slogans based on familiar themes, such as “Stop at an intersection and check right and left” and “Let’s give cheerful greetings to everyone,” while one student submitted a slogan with a focus on human rights: “Speak up and don’t ignore. Are you pretending that you did not see anything?”"
16,姉,あね,ane,Noun,older sister; elder sister​,jlpt_n5,"姉は恋愛ドラマを見て涙を流していた。

My sister was in tears watching a romantic TV drama.","がいる。

I have a cousin who has been like a sister to me since I was a little girl.","で、国内だけではなく海外でもレストランを経営している。

Although my older sister seems quiet at first glance, she is quite an accomplished businesswoman. She manages restaurants not only in Japan but also abroad."
17,兄,あに,ani,Noun,elder brother; older brother​,jlpt_n5,"中指5本指手話兄表す

The middle finger is the longest of the five fingers and represents the older brother in sign language.","した。

While still in college, my brother started his own business during his junior year.","がいる。

I have a brother who is five years older than me."
18,あの,,ano,Pre-noun adjectival,that,jlpt_n5,"ように答えを返していた。

The bright and active students replied to the teacher’s questions appropriately and promptly.","あった。

The two, who are not getting along well, are always quarreling over the slightest thing, and yesterday they had another skirmish.","のレビューがつづられている。

He is a movie buff and writes reviews on his blog that easily rival those of professional film critics."
19,青,あお,ao,Noun,blue; azure,jlpt_n5,"な青年になっていた。

After not seeing my grandson for fifteen years, there is nothing left of the immature boy I knew. He has become a fine young man.","送られて来る。

Every winter, a friend in Aomori sends a box of bright red apples with news of the season.","横断歩道を渡り出した。

At a scramble crossing, when the light changed from red to green, pedestrians who had been standing still immediately started crossing the street."
20,青い,あおい,aoi,"Adjective, い-adjective",blue; azure,jlpt_n5,"をして座っていた。

When I received the news that my father had collapsed, I rushed to the hospital and found my mother sitting outside the operating room with a pale face.","いる。

The bright midsummer sun was shining down on us through the white clouds floating in the blue sky.","例えばねえちょうど今青い四角の紙を見たよのようにだ

Like, 'Hey, I just saw a blue paper square!'"
21,アパート,,apaato,"Noun, Katakana",apartment,jlpt_n5,"のアパートは、寝室に小さなキッチンとユニットバスがついたごく一般的な学生向けの部屋だった。

The apartment where I lived when I was studying abroad was a room quite typical for students, consisting of a bedroom, a kitchenette and a modular bath.","のポストには、たくさんチラシがたまっている。

A lot of flyers are accumulating in my neighbor’s mailbox in my apartment. I wonder if he is away for several days or if he has moved out.","なった。

After visiting a friend’s newly built condominium, I hated going back to my own 50-year-old shabby apartment."
